customer_id,age,gender,education,employment_status,annual_income,months_employed,loan_amount,loan_term_months,interest_rate,credit_score,num_credit_lines,num_late_payments,debt_to_income_ratio,has_mortgage,has_dependents,loan_purpose,default
CUST0167,34,Female,Bachelor,Employed,50375,118,48423,24,13.44,525,5,3,11.535,0,1,Medical,1
CUST0168,38,Other,Bachelor,Self-Employed,67449,96,6847,48,24.71,539,9,4,1.218,1,0,Education,1
CUST0169,56,Male,Bachelor,Part-Time,66467,340,25265,24,17.7,687,1,1,4.561,1,1,Personal,0
CUST0170,54,Female,Master,Employed,83050,352,39698,24,13.59,506,10,1,5.736,0,1,Home,1
CUST0171,28,Female,Bachelor,Unemployed,81471,18,24828,36,11.5,736,4,1,3.657,1,1,Home,0
CUST0172,26,Other,Bachelor,Part-Time,42331,7,3480,36,17.72,613,12,0,0.987,0,0,Education,0
CUST0173,49,Other,PhD,Employed,95472,221,27924,12,19.54,675,4,0,3.51,1,1,Home,0
CUST0174,67,Female,Master,Employed,98154,52,37185,24,11.96,656,11,3,4.546,1,1,Business,0
CUST0175,59,Male,High School,Employed,27248,344,48267,36,23.24,656,10,0,21.257,0,1,Home,0
CUST0176,66,Female,High School,Employed,36782,305,11035,60,12.33,695,12,4,3.6,0,0,Personal,1
CUST0177,30,Female,High School,Part-Time,20277,1,33759,24,8.48,503,7,5,19.979,1,1,Medical,1
CUST0178,53,Male,High School,Employed,39742,112,21142,12,10.11,580,8,1,6.384,1,0,Business,0
CUST0179,39,Female,Master,Part-Time,56454,10,49119,48,15.65,778,7,0,10.441,0,1,Home,0
CUST0180,27,Male,Bachelor,Unemployed,86775,49,17528,24,21.04,560,12,1,2.424,1,0,Business,1
CUST0181,35,Female,Master,Part-Time,59138,152,37308,24,11.1,587,12,0,7.57,1,0,Car,1
CUST0182,63,Female,High School,Part-Time,19776,127,11584,36,21.4,650,8,0,7.029,1,1,Personal,0
CUST0183,26,Female,Bachelor,Part-Time,72556,17,47528,36,13.78,706,8,0,7.861,0,0,Medical,0
CUST0184,26,Male,Master,Employed,58248,27,15883,48,9.98,682,10,0,3.272,1,1,Medical,0
CUST0185,24,Female,High School,Part-Time,28011,5,30920,48,4.51,652,7,0,13.246,0,1,Car,0
CUST0186,27,Female,Bachelor,Part-Time,65587,10,5393,48,17.26,614,7,1,0.987,0,0,Car,0
CUST0187,26,Female,High School,Employed,31534,44,24516,12,24.66,627,7,1,9.329,1,0,Car,1
CUST0188,28,Other,Bachelor,Part-Time,71976,17,27082,24,17.59,623,10,0,4.515,0,1,Education,0
CUST0189,35,Female,Bachelor,Employed,39224,55,7681,12,7.36,720,2,1,2.35,1,1,Personal,0
CUST0190,63,Female,High School,Employed,26162,307,49263,60,10.31,661,11,3,22.596,0,0,Medical,0
CUST0191,40,Male,Bachelor,Part-Time,60913,98,9388,24,14.69,568,10,0,1.849,0,1,Education,0
CUST0192,48,Other,Bachelor,Self-Employed,76084,241,6783,12,16.48,709,1,4,1.07,1,1,Medical,0
CUST0193,54,Female,Master,Employed,58031,275,42373,24,10.16,722,5,0,8.762,0,0,Business,0
CUST0194,63,Other,Bachelor,Employed,71036,357,30671,24,5.68,731,8,1,5.181,0,1,Medical,0
CUST0195,64,Female,Master,Employed,73665,83,34532,36,15.17,489,12,0,5.625,1,0,Medical,0
CUST0196,23,Male,Bachelor,Employed,50773,8,6185,36,19.03,604,8,1,1.462,0,1,Business,0
CUST0197,45,Male,High School,Self-Employed,41432,59,16968,60,4.55,547,1,0,4.914,1,1,Personal,1
CUST0198,24,Other,Bachelor,Part-Time,91230,23,44972,48,9.08,642,6,0,5.915,0,1,Home,1
CUST0199,65,Male,Master,Employed,101378,205,6517,48,22.17,373,5,0,0.771,1,0,Education,0
CUST0200,61,Male,High School,Employed,45540,252,14807,60,20.01,640,7,0,3.902,1,0,Education,0
CUST0201,64,Other,Bachelor,Self-Employed,54525,121,29513,48,24.11,703,3,2,6.495,0,0,Car,0
CUST0202,51,Female,PhD,Employed,140369,48,35123,24,17.5,534,1,0,3.003,0,0,Education,1
CUST0203,42,Male,PhD,Employed,122028,115,19822,24,6.02,562,4,0,1.949,0,0,Home,0
CUST0204,29,Male,Bachelor,Unemployed,61922,26,31616,36,13.95,666,11,0,6.127,0,0,Education,0
CUST0205,27,Male,Master,Unemployed,76837,19,19050,24,5.13,659,7,3,2.975,0,0,Personal,1
CUST0206,22,Male,High School,Part-Time,27859,0,10566,24,21.3,541,11,0,4.551,1,0,Home,1
CUST0207,34,Male,Master,Employed,112699,84,10029,12,23.72,797,1,0,1.068,1,1,Personal,0
CUST0208,44,Female,High School,Employed,37670,143,31229,24,5.21,584,5,0,9.948,1,0,Home,0
CUST0209,46,Other,High School,Employed,39316,278,3279,48,20.45,559,6,0,1.001,1,1,Business,0
CUST0210,23,Other,Bachelor,Employed,68368,12,20411,12,21.0,547,10,5,3.583,0,0,Car,1
CUST0211,37,Male,Bachelor,Part-Time,62268,56,39728,48,11.74,623,3,0,7.656,1,1,Business,0
CUST0212,58,Female,Bachelor,Employed,45073,96,34258,60,10.8,596,4,1,9.121,0,1,Home,0
CUST0213,61,Female,High School,Employed,28302,165,5903,12,7.51,420,12,4,2.503,0,1,Home,1
CUST0214,59,Other,High School,Employed,20692,69,12322,48,20.65,780,3,2,7.146,1,0,Medical,0
CUST0215,33,Other,Bachelor,Self-Employed,55495,0,48006,60,12.49,700,10,0,10.381,1,0,Medical,0
CUST0216,43,Female,Master,Employed,96606,251,22939,24,17.48,820,11,1,2.849,1,1,Home,0
CUST0217,35,Female,High School,Employed,31840,0,5155,48,13.44,687,7,5,1.943,1,1,Personal,0
CUST0218,52,Male,Master,Employed,79296,351,16783,24,13.71,647,1,0,2.54,0,0,Education,0
CUST0219,46,Male,High School,Employed,52648,173,40930,60,22.72,541,12,0,9.329,0,1,Car,1
CUST0220,34,Male,Bachelor,Employed,63844,138,19384,36,10.57,722,9,3,3.643,0,0,Education,0
CUST0221,49,Female,High School,Part-Time,25531,49,3686,24,7.98,559,5,5,1.732,1,0,Education,1
CUST0222,38,Other,High School,Employed,35082,47,26315,48,12.04,566,8,0,9.001,1,0,Car,1
CUST0223,64,Male,High School,Self-Employed,34956,387,40648,24,15.79,543,7,2,13.954,1,1,Business,0
CUST0224,67,Female,High School,Employed,32482,264,39452,60,7.51,743,3,5,14.575,0,0,Home,0
CUST0225,27,Other,PhD,Employed,148627,53,40997,36,11.02,637,12,4,3.31,0,0,Personal,0
CUST0226,39,Male,Bachelor,Part-Time,65744,3,47902,60,16.49,649,3,0,8.743,0,0,Business,0
CUST0227,40,Other,Master,Part-Time,93557,167,33823,60,16.92,585,1,0,4.338,1,0,Business,0
CUST0228,47,Male,Master,Employed,63153,121,5230,48,23.29,656,5,0,0.994,1,0,Car,0
CUST0229,41,Female,PhD,Employed,119992,106,41647,12,8.33,569,4,4,4.165,1,1,Business,1
CUST0230,32,Male,High School,Self-Employed,23314,51,10889,60,22.44,704,4,3,5.605,0,0,Personal,1
CUST0231,45,Other,Master,Employed,92835,63,46641,12,9.44,533,8,1,6.029,0,1,Business,0
CUST0232,38,Other,Master,Self-Employed,91921,72,3798,48,5.51,745,4,3,0.496,0,0,Education,0
CUST0233,48,Female,Bachelor,Part-Time,79488,242,10671,24,16.76,608,1,0,1.611,1,1,Personal,0
CUST0234,35,Male,Bachelor,Self-Employed,45091,101,40304,12,4.65,850,6,1,10.726,1,1,Medical,0
CUST0235,52,Female,High School,Unemployed,21906,133,44999,36,8.34,486,9,2,24.65,0,1,Medical,1
CUST0236,63,Female,Bachelor,Employed,36981,214,28515,48,19.53,359,4,0,9.253,0,1,Medical,0
CUST0237,54,Male,Bachelor,Employed,47834,150,8396,48,7.11,533,5,2,2.106,0,1,Medical,1
CUST0238,41,Other,Bachelor,Part-Time,68152,95,19076,60,10.5,706,11,1,3.359,0,1,Car,0
CUST0239,29,Other,Master,Employed,79955,19,11002,24,11.49,671,10,3,1.651,1,0,Education,0
CUST0240,43,Other,Bachelor,Employed,63391,162,5801,12,13.72,683,10,2,1.098,1,0,Car,0
CUST0241,49,Male,Bachelor,Employed,71920,19,36981,24,19.41,618,1,3,6.17,0,0,Medical,0
CUST0242,66,Other,Master,Employed,70919,52,27136,60,16.51,732,5,4,4.592,1,1,Personal,1
CUST0243,30,Female,Bachelor,Part-Time,52061,51,3253,24,9.08,689,3,0,0.75,0,0,Home,0
CUST0244,46,Female,Master,Employed,46743,273,42837,12,16.62,685,1,0,10.997,0,1,Personal,0
CUST0245,29,Male,Bachelor,Employed,70780,80,2609,36,13.09,766,2,1,0.442,1,0,Personal,0
CUST0246,40,Other,High School,Employed,31193,50,41911,24,20.37,771,6,2,16.123,1,0,Home,0
CUST0247,53,Male,Master,Self-Employed,67123,6,46016,12,23.0,648,10,1,8.227,0,0,Business,0
CUST0248,38,Male,Bachelor,Employed,51390,75,19309,48,5.52,718,5,0,4.509,1,1,Medical,0
CUST0249,28,Male,Master,Part-Time,93168,21,23539,36,22.75,643,10,0,3.032,0,1,Education,1
CUST0250,51,Other,Bachelor,Employed,67615,244,29639,24,6.81,628,3,0,5.26,1,1,Car,0
CUST0251,46,Female,Master,Self-Employed,109428,66,33659,48,6.8,483,7,0,3.691,0,1,Medical,1
CUST0252,55,Other,Master,Employed,85202,289,16679,36,15.09,587,7,1,2.349,0,1,Education,0
CUST0253,65,Male,Bachelor,Employed,72136,313,5576,12,17.63,452,3,1,0.928,1,1,Car,1
CUST0254,43,Male,PhD,Employed,85819,57,38077,48,12.73,650,10,0,5.324,1,1,Education,0
CUST0255,53,Female,Master,Employed,77450,281,2011,12,20.65,655,10,1,0.312,0,1,Education,0
CUST0256,51,Other,Bachelor,Self-Employed,34229,307,33007,36,19.1,767,4,0,11.572,1,1,Business,0
CUST0257,45,Male,Master,Employed,87792,209,9009,36,16.96,687,4,0,1.231,1,0,Personal,0
